Averaged Grid, with depth 12:
Data Frame:
757, 1544, 1379, 385,
1486, 1633, 1642, 960,
1867, 1703, 1719, 1713,
1534, 1701, 1733, 1721,
764, 779, 228, 194,
801, 824, 730, 224,
796, 854, 875, 1021,
596, 878, 1044, 1065,
Averaged Grid, with depth 12:
Data Frame:
757, 1546, 1378, 386,
1485, 1632, 1642, 859,
1865, 1701, 1718, 1714,
1553, 1702, 1739, 1720,
893, 906, 263, 223,
931, 958, 865, 257,
923, 994, 1014, 1017,
695, 1022, 1043, 1064,
Averaged Grid, with depth 12:
Data Frame:
754, 1545, 1378, 386,
1478, 1634, 1645, 960,
1866, 1699, 1720, 1716,
1571, 1699, 1748, 1730,
1019, 1033, 299, 253,
1062, 1091, 1002, 291,
1048, 1134, 1158, 1160,
792, 1164, 1189, 1068,
Averaged Grid, with depth 12:
Data Frame:
656, 1546, 1473, 386,
1477, 1636, 1645, 958,
1866, 1700, 1720, 1717,
1590, 1702, 1752, 1734,
1145, 1161, 336, 283,
1194, 1228, 1043, 325,
1148, 1275, 1298, 1305,
886, 1308, 1331, 1214,
Averaged Grid, with depth 12:
Data Frame:
653, 1544, 1473, 387,
1475, 1634, 1646, 956,
1739, 1700, 1723, 1713,
1608, 1709, 1757, 1734,
1269, 1289, 372, 313,
1325, 1361, 1180, 360,
1273, 1414, 1442, 1446,
981, 1453, 1478, 1363,
Averaged Grid, with depth 12:
Data Frame:
562, 1543, 1471, 388,
1380, 1634, 1643, 959,
1611, 1700, 1723, 1716,
1627, 1708, 1757, 1733,
1394, 1416, 406, 341,
1455, 1496, 1316, 394,
1403, 1554, 1585, 1591,
1067, 1593, 1627, 1515,
Averaged Grid, with depth 12:
Data Frame:
470, 1546, 1467, 385,
1380, 1630, 1642, 848,
1512, 1699, 1721, 1595,
1635, 1706, 1749, 1726,
1517, 1545, 440, 360,
1586, 1629, 1450, 412,
1535, 1697, 1728, 1730,
1156, 1619, 1775, 1540,
Averaged Grid, with depth 12:
Data Frame:
468, 1546, 1466, 385,
1278, 1629, 1642, 837,
1412, 1702, 1716, 1599,
1643, 1706, 1746, 1739,
1518, 1544, 440, 355,
1586, 1630, 1452, 406,
1538, 1696, 1731, 1617,
1156, 1619, 1774, 1690,
Averaged Grid, with depth 12:
Data Frame:
468, 1548, 1463, 385,
1183, 1626, 1643, 937,
1308, 1701, 1714, 1600,
1652, 1710, 1746, 1739,
1521, 1543, 441, 352,
1587, 1632, 1450, 402,
1531, 1697, 1731, 1617,
1156, 1621, 1770, 1688,
Averaged Grid, with depth 12:
Data Frame:
464, 1549, 1462, 384,
1083, 1623, 1639, 1033,
1310, 1702, 1714, 1598,
1660, 1707, 1741, 1743,
1517, 1542, 442, 348,
1586, 1632, 1451, 393,
1526, 1697, 1729, 1503,
1168, 1623, 1769, 1687,
Averaged Grid, with depth 12:
Data Frame:
369, 1552, 1369, 378,
1075, 1621, 1640, 1017,
1312, 1701, 1715, 1485,
1668, 1709, 1734, 1747,
1516, 1542, 442, 338,
1583, 1634, 1454, 381,
1521, 1700, 1729, 1386,
1164, 1617, 1775, 1683,
Averaged Grid, with depth 12:
Data Frame:
357, 1550, 1275, 363,
1076, 1622, 1640, 995,
1206, 1700, 1596, 1360,
1677, 1706, 1728, 1624,
1517, 1436, 426, 322,
1583, 1632, 1552, 361,
1485, 1704, 1723, 1259,
1132, 1623, 1775, 1552,
Averaged Grid, with depth 12:
Data Frame:
343, 1550, 1173, 342,
961, 1622, 1520, 968,
1094, 1696, 1597, 1233,
1677, 1704, 1602, 1494,
1518, 1437, 400, 302,
1582, 1628, 1429, 339,
1489, 1707, 1593, 1129,
1145, 1497, 1642, 1416,
Averaged Grid, with depth 12:
Data Frame:
327, 1546, 1061, 319,
847, 1622, 1520, 941,
977, 1696, 1595, 1101,
1554, 1696, 1466, 1360,
1510, 1439, 373, 281,
1583, 1629, 1303, 315,
1378, 1578, 1464, 997,
1135, 1365, 1507, 1282,
Averaged Grid, with depth 12:
Data Frame:
307, 1547, 956, 295,
734, 1621, 1396, 811,
855, 1700, 1595, 965,
1428, 1568, 1327, 1224,
1510, 1324, 343, 257,
1466, 1629, 1173, 288,
1382, 1573, 1328, 861,
1126, 1373, 1369, 1144,
Averaged Grid, with depth 12:
Data Frame:
397, 1432, 852, 279,
609, 1620, 1269, 681,
727, 1574, 1458, 829,
1300, 1442, 1191, 1091,
1391, 1324, 310, 230,
1344, 1626, 1136, 258,
1291, 1437, 1192, 721,
1039, 1234, 1232, 1003,
Averaged Grid, with depth 12:
Data Frame:
397, 1433, 762, 255,
612, 1620, 1267, 684,
596, 1574, 1320, 690,
1165, 1307, 1192, 952,
1390, 1324, 276, 203,
1344, 1495, 1002, 225,
