Sensor 1: 
8x8 GRID
1825 1866 1871 1924 1817 1942 1909 1922
1916 1803 1897 1855 1852 1863 1861 1901
1717 1743 1738 1799 1789 1801 1814 1812
Sensor 1: 
8x8 GRID
2998  367  352  327  357  387  341 1729
 802  318  375  387  405  375  366 1953
2025  410 1864  446  439  450 2034 1969
 450 1875 1865 1960  483 1923 1879 1911
 346 1859 1900 1975 1904 1869 1972 1922
   0 1809 1859 1788 1886 1907 1994 1829
1451 1891 1760 1852 1857 1859 1850 1814
   0  668 1879 1785 1847 1810 1935 1815
Sensor 2: 
8x8 GRID
 311  335  344  388  367  376  347  309
 336  421  371  399  375  398 1978  296
 314  425  386  399  448 1998 1994 2046
 353 1864  370  467  482  372 2056 2008
1865 1973 2044  429 2034 1947 1888 1883
1825 1866 1871 1924 1817 1942 1909 1944
1916 1803 1897 1777 1852 1863 1861 1901
1717 1743 1738 1799 1789 1844 1783 1812
Sensor 1: 
8x8 GRID
2998  367  371  346  353  387  341 1729
 802  318  396  371  388  375  366 1953
2025  410 1864  444  483  450 2034 1969
 450 1875 1865 1960  483 1957 1879 1911
 346 1859 1900 1975 1926 1869 1972 1922
   0 1809 1859 1888 1838 1907 1994 1829
1451 1891 1760 1852 1857 1859 1850 1814
   0  668 1879 1785 1847 1810 1935 1815
Sensor 2: 
8x8 GRID
 311  344  334  353  367  376  347  309
 336  424  357  387  375  398 1978  296
 314  425  381  416  448 1998 1994 2046
 353 1864  370  467  482  372 2056 2008
1865 1973 2044  429 2034 1947 1888 1883
1825 1866 1897 1924 1927 1942 1909 1944
1916 1803 1897 1914 1848 1863 1951 1901
1717 1743 1738 1799 1789 1844 1862 1812
Sensor 1: 
8x8 GRID
2998  367  346  347  358  387  341 1729
 802  318  431  369  381  375  366 1953
2025  410 1864  450  483  450 2034 1912
 450 1882 1865 1960  483 1957 1879 1911
 346 1859 1900 1975 1897 1869 1972 1871
   0 1809 1859 1877 1948 1907 1994 1829
1451 1891 1760 1832 1860 1859 1850 1814
   0  668 1879 1785 1847 1810 1935 1815
Sensor 2: 
8x8 GRID
 351  354  339  368  367  376  347  309
 336  424  362  373  375  398 1978  296
 314  425  388  418 2027 1998 1994 2046
 353 1864  370  499  482  372 2056 2008
1865 1973 2044  429 2034 1947 1888 1929
1825 1866 1897 1924 1927 1942 1909 1944
1916 1803 1897 1806 1881 1830 1951 1901
1717 1743 1738 1834 1789 1844 1862 1812
Sensor 1: 
8x8 GRID
2998  367  357  338  367  387  341 1729
 802  394  390  371  383  375 2026 1953
2025  410 1864  439  483  450 2034 1912
 450 1882 1868 1960  483 1978 1879 1911
 346 1859 1900 1975 1926 1869 1972 1928
   0 1809 1859 1877 1831 1946 1826 1829
1451 1891 1834 1832 1860 1859 1850 1814
   0  668 1879 1785 1847 1810 1935 1815
Sensor 2: 
